P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Society_name,Bathrooms,Car_Parking,Status,Agent_name,Buyers_from_agents,Owner_name,Address,Product_link,Area_in_sqr_feet,Price_per_sqr_feet,Reviews
P_39,India Bhoomi 2,7.60 Cr,4,Resale,3,North - East,Semi-Furnished,Freehold,,4,3,Ready to Move, Noble Property,,,Defence Colony,,2700,"26,207 per sqft","Beautifull 3 side corner 4bhk builder floor is available on sell in defence colony reserved parking seprate driveway for 3 cars parking and lift .very near to market , metrostation and ring road."
P_40,R K Property & Interior,1.91 Cr,3,Resale,3,North - East,Semi-Furnished,Freehold,Veena Apartment,2,1,Ready to Move,,2000,,"Veena Apartment, Dwarka Sector 22",https://www.magicbricks.com/veena-apartment-dwarka-sector-22-new-delhi-pdpid-4d4235303130363432,1600,"10,611 per sqft","A Big Size Flat  Executive Furnished 100  Power Backup, 247 Water Supply, Community Hall, Mandir, Amul Dairy and huge Playing area for Kids  Children this Apartment. All Major Facilities Like Metro  Airport Metro, Mall, Very Well Maintain Parks, Banks, Mother Dairy, Road Trasport playing  Senior Schools Like Mount Carmal, Presidium and Many More All are at Walking distanceNote We Have all Sizes of Dda, Societies, Floors, Plots and Commercial PreLeased Already Rented like Studio Service ApartmentFoodCourts offices ShowroomsBanks to MNC and Reputed Brands With Best Monthly Rental I"
P_41,Goodwill Associates 1,1.60 Cr,3,Resale,4,North - East,Semi-Furnished,Freehold,Azad Hind Apartments,2,1,Ready to Move,,3500,,"Azad Hind Apartments, Dwarka Sector 9",https://www.magicbricks.com/azad-hind-apartments-dwarka-sector-9-new-delhi-pdpid-4d4235303130383132,1495,"10,000 per sqft","Spacious 3 Bed Room Plus Store, Freehold, Furnished Flat with Huge Bed Room Sizes,  Spacious Drawing , Lshaped Dining Area, Big Balconies,  Marble Flooring,  Vastu Perfect,  Sanitatory Fitted, Gated Community with facility like Power Backup, 24 hrs Water Supply and Car Parking,  Full Air Ventilated, Direct Party to Party Meeting No Hidden Cost Genuine Demand, Flexible Cheque Amount"
P_42,Goodwill Associates 2,8.50 Cr,5,Resale,2,East,Unfurnished,Freehold,Emaar Project Commonwealth Games Village 2010,5,3,Ready to Move, Gupta Realty Regd.,,,"Emaar Project Commonwealth Games Village 2010, Akshardham Temple",https://www.magicbricks.com/emaar-project-commonwealth-games-village-2010-akshardham-temple-new-delhi-pdpid-4d4235303735363936,3401,"24,993 per sqft","Price is inclusive of all other charges.Freehold. Bank Approved. Finance available from Nationalized Bank and NBFC. Approved from Delhi Development Authority.Clear Title.No obligation remains on unit holder in lieu of this flat.Sports facility in the complex.Undoubtedly, one of Delhis finest concepts in luxury living with approximately 70 greens and open Landscapes.247 SecuritywaterElectricity"
P_43,Saraswati Properties,83 Lac,3,New Property,2,North,Semi-Furnished,Freehold,,2,1,Ready to Move,,100,,Rohini Sector 24,,770,"9,765 per sqft",3 BHK This flat is only 2 min away from Rithala metro and this property is well connected and has hospitals Schools Colleges and shopping complexes in close proximity.It is a prefect home for you.Loan facility is also available.
P_44,Gupta Realtors,2.35 Cr,4,Resale,9,North - East,Furnished,Freehold,Bhartiya Apartment,3,1,Ready to Move,,38500,,"Bhartiya Apartment, DS 19",https://www.magicbricks.com/bhartiya-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303131303237,2200,"9,792 per sqft",4bhk with study room in new society on gold course road with sunlight full day.
P_45,Blue Mango Properties,1.15 Cr,2,Resale,2,East,Furnished,Freehold,,2,3,Ready to Move,,7000,,Lajpat Nagar 4,,900,"11,500 per sqft","Prime location, Front Courtyard, open 3 car parking, walking distance from, metro, Ring Road and Amar Colony Market."
P_46,Navigators Estate,3.31 Cr,3,Resale,Ground,South - East,Unfurnished,Freehold,Veera Safdarjung Enclave,3,,Ready to Move,,1500,,"Veera Safdarjung Enclave, Safdarjung Enclave",https://www.magicbricks.com/veera-safdarjung-enclave-safdarjung-enclave-new-delhi-pdpid-4d4235313639373833,1908,"17,348 per sqft","Its builder floor available on sale in Safdarjung enclave ,having three bedroom with attached bathroom drawing and dining separate big balcony one servant quarter one car parking in side if any details pls call me."
P_47,Dezire Properties,3 Cr,3,New Property,1,North,Semi-Furnished,Freehold,,3,2,Ready to Move,,4000,,Chittaranjan Park Block B,,1500,"18,750 per sqft","Brand new 3bhk corner flat with lift, servant quarter and separate gate stilt parking."
P_48,Grover,1.46 Cr,2,Resale,2,East,Unfurnished,Freehold,Saraswati Narmada Ganga Yamuna Apartment,2,2,Ready to Move,,2000,,"Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj Sector D",https://www.magicbricks.com/saraswati-narmada-ganga-yamuna-apartment-vasant-kunj-new-delhi-pdpid-4d4235303334363632,1000,"13,273 per sqft","2bhk 2bathrooms, fully extended and done up. Excellent location. Full sunlight and very well ventillated"
P_49,Lucky Realtech Pvt. Ltd.,35 Lac,2,New Property,1,North - East,Semi-Furnished,Freehold,,2,1,Ready to Move,,2500,,Rohini Sector 20,,550,"5,833 per sqft",2 BHK There are many facility available in this rohini sector20 and near Rithala metro station and near school banks market malls in rohini almost many shops and very good visitor park in rohini and all build provided by delhi development authority. 24 hours water and electricity available in rohini very good transport service in rohini and very big schools and computer teaching centre. We have many builder floor in rohini sector 20 Any more information pls contact
P_50,Ayuni Direct Realty,4.08 Cr,3,New Property,5,North - East,Semi-Furnished,Freehold,TARC Tripundra,3,1,Under Construction,,3500,,"TARC Tripundra, Bijwasan",https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,2206,"18,500 per sqft",These Uber Luxury Apartments are mapped out to provide spacious and elegant 3 bhk floor apartments that are included in 3 well planned towers of the height of G10 floorsTARC Tripundra a High Rise Luxury Residential complex is designed to be customercentric. From luscious green parks and kids playgrounds to a 30000 sq ft club these apartment complexes provide a pleasant environment allinclusive of selfsufficient amenities including schools and hospitals..
P_51,Ashwani  Jangra,2.85 Cr,3,New Property,10,East,Semi-Furnished,Freehold,DLF Capital Greens 1 and 2,2,,Ready to Move,,5500,,"DLF Capital Greens 1 and 2, New Moti Nagar, Kirti Nagar",https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1580,"17,812 per sqft",Its a 3 bhk apartment with 2 washrooms available
P_52,Kant Properties,3.25 Cr,3,Resale,Ground,North,Semi-Furnished,Freehold,,3,,Ready to Move,,3500,,"Nehru Enclave, Kalkaji",,1750,"18,056 per sqft",Brand new 3 bhk is available for sell reserved car parking inside stilt area big size bedrooms with attached washroom and balconies central and safe location gated communities park facing peaceful safe and secure area walking distance market and metro station full equipped modular kitchen with full ventilation.
P_53,Gauri Ganesh Real Estate,2.15 Cr,3,Resale,3,North - East,Semi-Furnished,Freehold,Phillips CGHS,2,1,Ready to Move,,500,,"Phillips CGHS, Dwarka Sector 23",https://www.magicbricks.com/phillips-cghs-dwarka-sector-23-new-delhi-pdpid-4d4235303131343136,1550,"11,316 per sqft","This is one of the premium apartments is available for in dwarka with all modern amenities. Located at a very prime location  well connected to NH8 and IGI Airport. Well Maintained society and local market, metro Station, School, Park, Bank, ATM etc located very near by this property. One of the best option for investment of Self use Purpose. Please call for more details."
